Timestamp,Battery_V,Battery_Pct,GPS_Sats,GPS_Fix,Rel_Alt,Roll,Pitch,Yaw,Mode,Armed,Health
14:37:43.442,15.19,8700.0,11,FIX_3D,2.6,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:43.542,15.19,8700.0,11,FIX_3D,2.6,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:43.643,15.19,8700.0,11,FIX_3D,2.6,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:43.743,15.19,8700.0,11,FIX_3D,2.6,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:43.844,15.19,8700.0,11,FIX_3D,2.5,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:43.944,15.19,8700.0,11,FIX_3D,2.5,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:44.045,15.19,8700.0,11,FIX_3D,2.51,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:44.146,15.19,8700.0,11,FIX_3D,2.51,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:44.246,15.19,8700.0,11,FIX_3D,2.51,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:44.347,15.19,8700.0,11,FIX_3D,2.51,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:44.448,15.19,8700.0,11,FIX_3D,2.51,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:44.548,15.19,8700.0,11,FIX_3D,2.52,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:44.648,15.19,8700.0,11,FIX_3D,2.53,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:44.748,15.19,8700.0,11,FIX_3D,2.53,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:44.848,15.19,8700.0,11,FIX_3D,2.54,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:44.948,15.19,8700.0,11,FIX_3D,2.54,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:45.048,15.19,8700.0,11,FIX_3D,2.54,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:45.148,15.19,8700.0,12,FIX_3D,2.54,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:45.248,15.19,8700.0,12,FIX_3D,2.54,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:45.348,15.19,8700.0,12,FIX_3D,2.55,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:45.448,15.19,8700.0,12,FIX_3D,2.55,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:45.548,15.19,8700.0,12,FIX_3D,2.55,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:45.648,15.19,8700.0,12,FIX_3D,2.55,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:45.748,15.19,8700.0,12,FIX_3D,2.55,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:45.848,15.19,8700.0,12,FIX_3D,2.55,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:45.948,15.19,8700.0,12,FIX_3D,2.55,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:46.049,15.19,8700.0,12,FIX_3D,2.56,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:46.149,15.19,8700.0,12,FIX_3D,2.56,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:46.249,15.19,8700.0,12,FIX_3D,2.56,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:46.349,15.19,8700.0,12,FIX_3D,2.56,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:46.450,15.19,8700.0,12,FIX_3D,2.56,0.0,0.0,0.0,LAND,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:46.550,15.19,8700.0,12,FIX_3D,2.57,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:46.651,15.19,8700.0,12,FIX_3D,2.57,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:46.751,15.19,8700.0,12,FIX_3D,2.57,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:46.852,15.19,8700.0,12,FIX_3D,2.58,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:46.952,15.19,8700.0,12,FIX_3D,2.58,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:47.052,15.19,8700.0,12,FIX_3D,2.61,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:47.153,15.19,8700.0,12,FIX_3D,2.61,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:47.253,15.19,8700.0,12,FIX_3D,2.63,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:47.354,15.19,8700.0,12,FIX_3D,2.63,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:47.454,15.19,8700.0,12,FIX_3D,2.63,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:47.554,15.19,8700.0,11,FIX_3D,2.63,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:47.654,15.13,8700.0,11,FIX_3D,2.63,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:47.755,15.13,8700.0,11,FIX_3D,2.63,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:47.856,15.13,8700.0,11,FIX_3D,2.63,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:47.957,15.13,8700.0,11,FIX_3D,2.63,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:48.057,15.13,8700.0,11,FIX_3D,2.63,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:48.158,15.13,8700.0,11,FIX_3D,2.63,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:48.258,15.13,8700.0,11,FIX_3D,2.63,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:48.359,15.13,8700.0,11,FIX_3D,2.63,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:48.460,15.13,8700.0,11,FIX_3D,2.62,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:48.560,15.19,8700.0,11,FIX_3D,2.62,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:48.661,15.19,8700.0,11,FIX_3D,2.62,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
14:37:48.761,15.19,8700.0,11,FIX_3D,2.62,0.0,0.0,0.0,HOLD,False,Gyro Fail|Accel Fail|Mag Fail|Not Armable
